order_id,ordered_at,customer_id,category,pincode,order_value,order_hour,day_of_week,month,is_weekend,festival_period,phone_verified,address_quality_signal,customer_prior_orders,customer_prior_rto_rate,customer_prior_delivery_rate,customer_prior_prepaid_attempts,customer_prior_prepaid_success_rate,customer_order_value_ratio,pincode_prior_orders,pincode_prior_rto_rate,split
ORDER-000018,2025-01-01T07:50:49,CUST-01448,home,ZONE-031,2800.54,7,2,1,0,0,1,0.494034,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000019,2025-01-01T08:15:03,CUST-02583,electronics,ZONE-068,1217.84,8,2,1,0,0,1,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000020,2025-01-01T08:40:00,CUST-02023,beauty,ZONE-012,512.78,8,2,1,0,0,1,0.836621,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000021,2025-01-01T09:10:32,CUST-01579,home,ZONE-017,4890.85,9,2,1,0,0,1,0.656891,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000022,2025-01-01T09:35:14,CUST-02538,grocery,ZONE-070,425.28,9,2,1,0,0,1,0.799977,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000023,2025-01-01T10:02:25,CUST-01439,grocery,ZONE-057,2270.21,10,2,1,0,0,0,0.654888,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000024,2025-01-01T10:27:58,CUST-00148,fashion,ZONE-006,368.28,10,2,1,0,0,1,0.707113,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000025,2025-01-01T10:51:49,CUST-03274,fashion,ZONE-094,1492.77,10,2,1,0,0,0,0.552961,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000026,2025-01-01T11:16:50,CUST-02084,fashion,ZONE-046,4180.62,11,2,1,0,0,0,0.675622,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000027,2025-01-01T11:46:03,CUST-02721,grocery,ZONE-119,666.4,11,2,1,0,0,0,0.67665,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000028,2025-01-01T12:12:16,CUST-02311,fashion,ZONE-110,1717.97,12,2,1,0,0,0,0.608458,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000029,2025-01-01T12:36:34,CUST-02445,electronics,ZONE-044,3431.15,12,2,1,0,0,0,0.267494,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000030,2025-01-01T13:01:14,CUST-00904,fashion,ZONE-007,495.21,13,2,1,0,0,1,0.614673,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000031,2025-01-01T13:30:03,CUST-03711,electronics,ZONE-049,3326.08,13,2,1,0,0,1,0.606928,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000032,2025-01-01T13:56:11,CUST-01811,fashion,ZONE-047,817.79,13,2,1,0,0,0,0.824742,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000033,2025-01-01T14:21:44,CUST-03657,beauty,ZONE-094,918.04,14,2,1,0,0,1,1.0,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000034,2025-01-01T14:46:37,CUST-03196,home,ZONE-092,1527.55,14,2,1,0,0,1,0.522029,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000035,2025-01-01T15:14:48,CUST-02856,grocery,ZONE-006,667.79,15,2,1,0,0,1,0.776988,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000036,2025-01-01T15:40:43,CUST-01855,grocery,ZONE-013,463.9,15,2,1,0,0,0,0.736152,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000037,2025-01-01T16:03:06,CUST-00094,beauty,ZONE-069,687.21,16,2,1,0,0,0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000038,2025-01-01T16:29:33,CUST-01296,electronics,ZONE-025,3540.0,16,2,1,0,0,0,0.661476,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000039,2025-01-01T16:57:40,CUST-02639,fashion,ZONE-062,690.74,16,2,1,0,0,0,0.92348,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000040,2025-01-01T17:20:46,CUST-01359,fashion,ZONE-016,1137.5,17,2,1,0,0,1,0.698815,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000041,2025-01-01T17:46:04,CUST-00414,beauty,ZONE-020,3067.64,17,2,1,0,0,0,0.654661,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000042,2025-01-01T18:14:34,CUST-02098,fashion,ZONE-055,1979.04,18,2,1,0,0,1,0.717324,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000043,2025-01-01T18:42:36,CUST-00622,electronics,ZONE-056,3843.1,18,2,1,0,0,1,0.462307,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000044,2025-01-01T19:08:23,CUST-01257,fashion,ZONE-084,1943.0,19,2,1,0,0,1,0.638726,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000045,2025-01-01T19:30:59,CUST-02045,fashion,ZONE-118,1130.16,19,2,1,0,0,1,0.815392,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000046,2025-01-01T19:57:07,CUST-00484,electronics,ZONE-102,1047.53,19,2,1,0,0,1,0.898474,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000047,2025-01-01T20:23:52,CUST-00477,electronics,ZONE-095,1477.8,20,2,1,0,0,1,0.138997,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000048,2025-01-01T20:52:37,CUST-00858,fashion,ZONE-007,710.7,20,2,1,0,0,1,0.909726,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000049,2025-01-01T21:18:12,CUST-02368,grocery,ZONE-059,341.56,21,2,1,0,0,0,0.971742,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000050,2025-01-01T21:44:31,CUST-03708,home,ZONE-037,1668.68,21,2,1,0,0,1,0.762637,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000051,2025-01-01T22:08:23,CUST-00990,electronics,ZONE-091,1599.24,22,2,1,0,0,1,0.532296,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000052,2025-01-01T22:32:23,CUST-02856,beauty,ZONE-115,1279.01,22,2,1,0,0,1,0.733174,1,0.0,0.0,0,0.0,1.915287740157834,0,0.0,train
ORDER-000053,2025-01-01T23:01:19,CUST-00765,home,ZONE-041,1933.52,23,2,1,0,0,0,0.486101,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000054,2025-01-01T23:28:30,CUST-02523,electronics,ZONE-119,3031.14,23,2,1,0,0,0,0.417359,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000055,2025-01-01T23:51:48,CUST-00557,beauty,ZONE-015,294.77,23,2,1,0,0,1,0.184463,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000056,2025-01-02T00:17:12,CUST-03361,electronics,ZONE-001,4554.7,0,3,1,0,0,1,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000057,2025-01-02T00:44:46,CUST-02935,beauty,ZONE-042,1337.61,0,3,1,0,0,1,0.998937,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000058,2025-01-02T01:09:12,CUST-02698,fashion,ZONE-106,928.15,1,3,1,0,0,1,1.0,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000059,2025-01-02T01:38:13,CUST-00060,fashion,ZONE-020,1092.77,1,3,1,0,0,1,0.598957,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000060,2025-01-02T02:02:00,CUST-03324,home,ZONE-037,531.65,2,3,1,0,0,1,0.100353,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000061,2025-01-02T02:30:27,CUST-00605,beauty,ZONE-057,1193.47,2,3,1,0,0,0,0.44696,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000062,2025-01-02T02:55:00,CUST-02153,beauty,ZONE-070,1565.69,2,3,1,0,0,1,0.428502,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000063,2025-01-02T03:20:16,CUST-03072,grocery,ZONE-117,3147.06,3,3,1,0,0,1,0.541081,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000064,2025-01-02T03:46:16,CUST-02505,fashion,ZONE-081,2939.62,3,3,1,0,0,1,0.824812,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000065,2025-01-02T04:13:36,CUST-03248,grocery,ZONE-094,730.2,4,3,1,0,0,1,0.756763,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000066,2025-01-02T04:37:13,CUST-02822,fashion,ZONE-095,1581.32,4,3,1,0,0,1,0.815641,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000067,2025-01-02T05:04:20,CUST-02983,fashion,ZONE-083,2093.61,5,3,1,0,0,1,0.631391,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000068,2025-01-02T05:32:19,CUST-01228,electronics,ZONE-089,1488.34,5,3,1,0,0,0,0.463678,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000069,2025-01-02T05:58:41,CUST-01542,fashion,ZONE-044,1853.44,5,3,1,0,0,1,0.912115,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000070,2025-01-02T06:20:12,CUST-02041,fashion,ZONE-029,573.65,6,3,1,0,0,1,0.638836,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000071,2025-01-02T06:49:38,CUST-02346,home,ZONE-018,1087.75,6,3,1,0,0,1,0.532878,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000072,2025-01-02T07:16:12,CUST-02739,electronics,ZONE-069,2563.12,7,3,1,0,0,1,0.200546,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000073,2025-01-02T07:40:09,CUST-02234,grocery,ZONE-081,1047.66,7,3,1,0,0,0,0.452662,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000074,2025-01-02T08:05:09,CUST-02828,grocery,ZONE-075,2594.11,8,3,1,0,0,0,0.67046,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000075,2025-01-02T08:32:29,CUST-00605,grocery,ZONE-015,612.02,8,3,1,0,0,1,0.494127,1,0.0,0.0,0,0.0,0.5128071924723705,1,0.0,train
ORDER-000076,2025-01-02T09:00:30,CUST-01592,home,ZONE-088,3121.84,9,3,1,0,0,1,0.682978,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000077,2025-01-02T09:22:54,CUST-03633,electronics,ZONE-063,2980.06,9,3,1,0,0,1,0.828602,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000078,2025-01-02T09:49:35,CUST-00894,grocery,ZONE-024,436.8,9,3,1,0,0,0,0.480408,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000079,2025-01-02T10:18:42,CUST-00572,electronics,ZONE-101,5642.11,10,3,1,0,0,1,0.319386,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000080,2025-01-02T10:43:18,CUST-02942,electronics,ZONE-114,5682.43,10,3,1,0,0,1,0.860784,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000081,2025-01-02T11:07:16,CUST-00787,home,ZONE-106,1947.63,11,3,1,0,0,1,0.690949,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000082,2025-01-02T11:35:23,CUST-01847,home,ZONE-029,1480.42,11,3,1,0,0,1,0.762504,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000083,2025-01-02T11:58:54,CUST-02833,fashion,ZONE-055,2638.63,11,3,1,0,0,1,0.902535,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000084,2025-01-02T12:27:36,CUST-01969,fashion,ZONE-031,4620.5,12,3,1,0,0,0,0.160961,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000085,2025-01-02T12:52:15,CUST-03587,fashion,ZONE-003,3244.76,12,3,1,0,0,1,0.259721,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000086,2025-01-02T13:20:25,CUST-03486,fashion,ZONE-063,758.73,13,3,1,0,0,1,0.551324,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000087,2025-01-02T13:45:37,CUST-02050,electronics,ZONE-111,3231.97,13,3,1,0,0,1,0.590155,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000088,2025-01-02T14:08:36,CUST-03827,grocery,ZONE-007,4684.13,14,3,1,0,0,1,0.599848,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000089,2025-01-02T14:37:24,CUST-01203,beauty,ZONE-064,1783.26,14,3,1,0,0,1,0.596343,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000090,2025-01-02T15:03:17,CUST-00967,fashion,ZONE-042,2480.96,15,3,1,0,0,0,0.431478,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000091,2025-01-02T15:27:16,CUST-02655,fashion,ZONE-080,4463.1,15,3,1,0,0,1,0.756869,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000092,2025-01-02T15:54:34,CUST-02306,grocery,ZONE-015,830.1,15,3,1,0,0,1,0.357459,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000093,2025-01-02T16:19:19,CUST-01037,beauty,ZONE-116,1496.7,16,3,1,0,0,1,0.628313,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000094,2025-01-02T16:47:41,CUST-01517,home,ZONE-020,1919.38,16,3,1,0,0,1,0.660133,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000095,2025-01-02T17:11:10,CUST-00963,grocery,ZONE-013,478.95,17,3,1,0,0,1,0.719755,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000096,2025-01-02T17:38:02,CUST-00978,grocery,ZONE-040,729.46,17,3,1,0,0,1,0.468665,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000097,2025-01-02T18:05:00,CUST-01500,fashion,ZONE-097,2256.65,18,3,1,0,0,1,0.398886,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000098,2025-01-02T18:28:14,CUST-03670,home,ZONE-090,3272.09,18,3,1,0,0,1,0.783245,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000099,2025-01-02T18:58:47,CUST-03315,beauty,ZONE-112,513.68,18,3,1,0,0,0,1.0,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000100,2025-01-02T19:20:12,CUST-02077,grocery,ZONE-087,1432.57,19,3,1,0,0,1,0.858862,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000101,2025-01-02T19:50:26,CUST-01938,home,ZONE-015,1906.27,19,3,1,0,0,1,0.732663,0,0.0,0.0,0,0.0,1.0,3,0.0,train
ORDER-000102,2025-01-02T20:15:15,CUST-00135,home,ZONE-033,1166.16,20,3,1,0,0,1,0.61596,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000103,2025-01-02T20:40:31,CUST-01866,electronics,ZONE-118,4482.29,20,3,1,0,0,1,0.725792,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000104,2025-01-02T21:06:26,CUST-02474,electronics,ZONE-030,8146.29,21,3,1,0,0,1,0.616147,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000105,2025-01-02T21:31:53,CUST-03081,home,ZONE-117,4309.75,21,3,1,0,0,1,0.748843,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000106,2025-01-02T21:59:35,CUST-01459,fashion,ZONE-059,1747.42,21,3,1,0,0,0,0.797297,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000107,2025-01-02T22:23:58,CUST-03656,beauty,ZONE-026,592.83,22,3,1,0,0,1,0.660942,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000108,2025-01-02T22:50:37,CUST-03336,home,ZONE-009,843.41,22,3,1,0,0,1,0.370992,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000109,2025-01-02T23:18:01,CUST-00339,grocery,ZONE-070,1038.34,23,3,1,0,0,1,0.674798,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000110,2025-01-02T23:43:15,CUST-03589,beauty,ZONE-119,479.3,23,3,1,0,0,1,0.739759,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000111,2025-01-03T00:09:15,CUST-00921,home,ZONE-051,1940.62,0,4,1,0,0,0,0.472736,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000112,2025-01-03T00:34:50,CUST-03668,beauty,ZONE-052,804.56,0,4,1,0,0,1,0.505186,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000113,2025-01-03T00:58:12,CUST-02500,beauty,ZONE-092,360.95,0,4,1,0,0,0,1.0,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000114,2025-01-03T01:24:20,CUST-01659,electronics,ZONE-032,1381.37,1,4,1,0,0,1,0.864915,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000115,2025-01-03T01:50:22,CUST-01768,beauty,ZONE-116,1158.34,1,4,1,0,0,0,0.611191,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000116,2025-01-03T02:17:21,CUST-02262,grocery,ZONE-089,943.13,2,4,1,0,0,1,0.611122,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000117,2025-01-03T02:44:24,CUST-03356,fashion,ZONE-118,1095.26,2,4,1,0,0,1,0.440038,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000118,2025-01-03T03:09:11,CUST-03325,home,ZONE-016,4002.74,3,4,1,0,0,1,0.576047,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000119,2025-01-03T03:36:39,CUST-01672,fashion,ZONE-067,1267.91,3,4,1,0,0,0,0.576068,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000120,2025-01-03T04:04:22,CUST-03372,electronics,ZONE-018,1823.74,4,4,1,0,0,1,0.483509,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000121,2025-01-03T04:30:48,CUST-01913,beauty,ZONE-087,1824.12,4,4,1,0,0,1,0.331062,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000122,2025-01-03T04:55:17,CUST-01686,fashion,ZONE-022,934.87,4,4,1,0,0,0,0.1112,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000123,2025-01-03T05:18:42,CUST-01002,fashion,ZONE-118,837.84,5,4,1,0,0,0,0.842723,0,0.0,0.0,0,0.0,1.0,3,0.0,train
ORDER-000124,2025-01-03T05:47:43,CUST-03287,electronics,ZONE-057,3042.82,5,4,1,0,0,1,0.724412,0,0.0,0.0,0,0.0,1.0,3,0.0,train
ORDER-000125,2025-01-03T06:14:02,CUST-02461,beauty,ZONE-000,802.09,6,4,1,0,0,1,0.416221,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000126,2025-01-03T06:39:55,CUST-01747,fashion,ZONE-104,798.68,6,4,1,0,0,1,0.271935,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000127,2025-01-03T07:06:28,CUST-02627,home,ZONE-016,1104.63,7,4,1,0,0,1,0.600355,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000128,2025-01-03T07:28:01,CUST-03416,beauty,ZONE-049,976.48,7,4,1,0,0,0,0.254403,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000129,2025-01-03T07:55:53,CUST-00802,home,ZONE-053,2761.05,7,4,1,0,0,1,0.354207,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000130,2025-01-03T08:22:57,CUST-01584,grocery,ZONE-023,464.18,8,4,1,0,0,1,0.298269,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000131,2025-01-03T08:46:48,CUST-01547,beauty,ZONE-093,1876.73,8,4,1,0,0,1,0.512551,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000132,2025-01-03T09:13:59,CUST-00312,fashion,ZONE-080,919.26,9,4,1,0,0,0,0.747091,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000133,2025-01-03T09:39:13,CUST-01374,grocery,ZONE-041,268.59,9,4,1,0,0,1,0.50075,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000134,2025-01-03T10:05:05,CUST-03001,home,ZONE-011,1963.78,10,4,1,0,0,1,0.332004,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000135,2025-01-03T10:33:18,CUST-01049,grocery,ZONE-048,401.73,10,4,1,0,0,1,0.93904,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000136,2025-01-03T10:59:19,CUST-03217,grocery,ZONE-049,637.45,10,4,1,0,0,1,1.0,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000137,2025-01-03T11:22:20,CUST-03797,fashion,ZONE-109,1828.57,11,4,1,0,0,1,0.582421,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000138,2025-01-03T11:51:24,CUST-00924,fashion,ZONE-019,1610.81,11,4,1,0,0,1,0.831189,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000139,2025-01-03T12:18:25,CUST-01647,home,ZONE-001,1216.42,12,4,1,0,0,1,0.581882,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000140,2025-01-03T12:40:12,CUST-00529,fashion,ZONE-022,601.85,12,4,1,0,0,0,0.802839,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000141,2025-01-03T13:09:46,CUST-02742,electronics,ZONE-028,1216.32,13,4,1,0,0,1,0.92812,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000142,2025-01-03T13:35:30,CUST-01957,grocery,ZONE-034,446.58,13,4,1,0,0,0,0.532106,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000143,2025-01-03T14:01:58,CUST-02355,home,ZONE-119,1157.55,14,4,1,0,0,1,0.775233,0,0.0,0.0,0,0.0,1.0,3,0.0,train
ORDER-000144,2025-01-03T14:28:49,CUST-03082,electronics,ZONE-020,1776.35,14,4,1,0,0,0,0.254498,0,0.0,0.0,0,0.0,1.0,3,0.0,train
ORDER-000145,2025-01-03T14:53:42,CUST-03070,fashion,ZONE-025,2465.63,14,4,1,0,0,0,0.805651,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000146,2025-01-03T15:17:47,CUST-02089,beauty,ZONE-074,2593.72,15,4,1,0,0,1,0.809474,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000147,2025-01-03T15:42:38,CUST-03508,grocery,ZONE-089,223.14,15,4,1,0,0,0,0.268114,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000148,2025-01-03T16:12:31,CUST-03703,grocery,ZONE-087,368.69,16,4,1,0,0,1,0.823211,0,0.0,0.0,0,0.0,1.0,2,0.0,train
ORDER-000149,2025-01-03T16:37:39,CUST-02501,fashion,ZONE-010,1907.58,16,4,1,0,0,1,0.684927,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000150,2025-01-03T17:02:13,CUST-00169,fashion,ZONE-113,4525.39,17,4,1,0,0,1,0.621993,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000151,2025-01-03T17:28:59,CUST-03067,grocery,ZONE-009,731.34,17,4,1,0,0,0,0.725793,0,0.0,0.0,0,0.0,1.0,1,0.0,train
ORDER-000152,2025-01-03T17:54:39,CUST-03546,grocery,ZONE-105,346.37,17,4,1,0,0,0,0.47266,0,0.0,0.0,0,0.0,1.0,0,0.0,train
ORDER-000153,2025-01-03T18:18:15,CUST-02236,fashion,ZONE-041,1458.13,18,4,1,0,0,1,0.799465,0,0.0,0.0,0,0.0,1.0,3,0.0,train
